,Link,Job Title,Company,Rating,Location,Salary,Date
66,https://in.indeed.com/company/Fortunesoft-IT-Innovations-Pvt-Ltd/jobs/Business-Analyst-df69fb308f6f6969?fccid=cc6d7f7aeff1ddc6&vjs=3,Business Analyst,Fortunesoft IT Innovations Pvt Ltd,N/A,"Bengaluru, Karnataka","From ₹4,00,000 a year",EmployerActive 2 days ago
67,https://in.indeed.com/rc/clk?jk=945dd06e303c0e78&fccid=5dfd33cf35859b27&vjs=3,Data Analyst,Docon,N/A,"Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
68,https://in.indeed.com/rc/clk?jk=7013d51f91a36b72&fccid=dd616958bd9ddc12&vjs=3,Analyst / Associate,"Definitive Healthcare, India",N/A,"Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
69,https://in.indeed.com/rc/clk?jk=a3206a5741b7b37a&fccid=04c9b139c84ea1b5&vjs=3,"Business Analyst, GSC's",HSBC,4.0,"Bengaluru, Karnataka",N/A,PostedPosted 5 days ago
70,https://in.indeed.com/company/Shreshtha-Business-Solution/jobs/Risk-Analyst-ccd058453cf15cdc?fccid=367657eaa2d14ea3&vjs=3,Risk Analyst,shreshtha business solution,N/A,"Bengaluru, Karnataka","₹20,000 - ₹25,000 a month",PostedPosted 14 days ago
71,https://in.indeed.com/rc/clk?jk=710c0d6ec1d2cc20&fccid=de71a49b535e21cb&vjs=3,Business Analyst: ADM,IBM,3.9,"Bengaluru, Karnataka",N/A,PostedToday
72,https://in.indeed.com/rc/clk?jk=b4095823a283b4ef&fccid=1544766d4c2915b0&vjs=3,BTS QS - Analyst,EY,3.9,"Bengaluru, Karnataka",N/A,PostedPosted 3 days ago
73,https://in.indeed.com/rc/clk?jk=81ed6249cc4a1bf8&fccid=d0cca4c682d52964&vjs=3,Jr. Data Analyst,Armorblox,4.3,"Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
74,https://in.indeed.com/company/Stratmed/jobs/Senior-Data-Analyst-5c6e486f5b8528c8?fccid=fde96455f205d7a9&vjs=3,Sr. Data Analyst,StratMed,N/A,"Bengaluru, Karnataka","₹5,00,000 - ₹6,00,000 a year",EmployerActive 5 days ago
75,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A0sLjryQUNkc81K2goHfqpo9JHml6Vo2yWT4XuRGLXtsN7afMoSAWdBecNwvrHUtCml2fyFLgVE1sfQWF7pkveY6fi3tZEIR8v_wYWixq_bO8KiKCVALewkE8i88Ougzuj98dAl4NaiUBe01rDRPoFww8OC5T91DDJCs2uew8UDD8gCPKc_uojOpX7qSwRTQfPuqNU4m37uhfbsqOP2f8_tZTEIbyDzVKWnFI3hgRpuyVmaDX5XvTT7g4VlsegClSeeo_U51lQJa4eamo0AIR7UVyzRH_EscBC6ko_rEzIcDpL-bXXC6qCZ4uGd7u1_YURm1mEH19yT--uLmtoZRYJFarTh9I87zmG0buCpCWBOCAtj3EW7iH6fNzOnxVqNxYkD93Ukhvs_dutHcG4v7NJ4bRpM9LA7lcVx8j_NKx1tevfu4klev_Liw6uj4Cr3cZRSODN2IqcRK_KZF_m9ckzsAtWUB_Cc_OHZKEOHHARfFF4syo1D4IArzGKmEDHN9jHmuHZdZKFLtDco8cMUEiwbbdlnjOGIzvT5CKq_uLAOnz72OJ1TC1UnRNgwLHqARldpLwKKVwVHRiXqMilqNxr-bYOJ3ZTiACrrCpH8YeV2qRwpoBraf_Q1GIh0ZRqN1M2wsRcB1G6jA==&xkcb=SoBP-_M3VpKhZLQIzx0JbzkdCdPP&p=14&fvj=0&vjs=3,Senior Quantitative Analytics Specialist,WELLS FARGO BANK,3.7,"Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
